omega,theta
     -0.00209344,      0.05227614
     -1.43168083,      2.35483450
     -2.48745781,    -11.55644671
      0.51102692,      1.88097054
     -0.39596282,     14.67555717
     -0.12497638,    -38.87943421
     -1.34137206,    -53.01698292
     -1.57090388,    -51.99554004
     -1.86501128,    -48.43576270
     -0.99119986,   -100.09765117
      0.35865401,    -86.57386283
      1.66980431,    -86.82184592
      0.55088982,    -46.09581045
     -0.79031587,    -18.10898382
      1.40835683,    -38.91714033
     -1.18988801,    -23.98038892
      0.86205326,    -31.99501740
      1.14345564,    -35.49204687
     -1.32320316,    -32.56988989
     -1.27589156,    -45.21447176
     -2.13365216,    -31.76382980
      0.89632756,    -65.34965830
      1.36185820,    -75.72999923
      1.08904819,    -76.03427103
      0.42185797,    -33.67494077
     -0.71304216,     15.61428642
     -0.97056938,     -9.29180082
     -0.43186522,    -61.23314839
      0.43708116,    -68.16485772
     -1.25318448,    -56.32812140
     -1.63094470,    -51.51912936
      0.17025708,    -24.08434876
      0.09498911,    -11.40239737
      1.82294198,    -32.90791583
     -0.75811521,    -18.79616546
      1.50158251,    -26.70413828
     -1.37679824,     -6.36813648
     -1.70091961,    -16.16224413
     -1.84417171,    -23.32602310
      1.50936768,     -0.22297888
     -1.58769249,    -19.02118023
      0.74367677,     -0.04371123
      0.81383520,    -18.03935120
     -1.22673588,      1.95589579
      1.82323783,    -63.58611663
     -1.09958536,    -68.71536058
      2.77127541,    -56.23517268
     -1.65443254,    -70.23245851
     -1.72059254,    -59.01956609
      0.51645418,    -50.20236285
      0.57852838,     15.01011867
     -1.04630452,      0.85300391
      1.47469897,     26.73061321
      0.40631370,     25.14809988
     -0.29759008,      5.07827046
     -0.57647718,     23.09775996
     -0.94216964,     43.75957580
     -1.03266015,     32.19579935
      0.29356592,     56.64845710
     -2.11667082,      1.10158675
      1.16479050,      7.18430489
      1.02284615,     17.76995268
     -0.80004061,      5.36420565
      1.04813317,     -3.23594358
     -1.96815108,     19.28765180
