omega,theta
     -2.33555398,   8126.94357965
      0.10529167,   8149.11750607
      1.82453757,   8233.22651788
      2.34063873,   8261.07754080
      1.82360432,   8277.21067444
      0.10507630,   8343.89612472
     -2.33553247,   8365.70491406
      0.10526829,   8387.87853409
      1.82465103,   8471.98733348
      2.34053297,   8499.83828747
      1.82371773,   8515.97149015
     -2.33551099,   8604.46624846
      0.10524491,   8626.63956211
     -2.33568839,   8648.44613718
      1.82476449,   8710.74814906
      2.34042719,   8738.59903415
      1.82383115,   8754.73230585
     -2.33548953,   8843.22758286
      0.10522155,   8865.40059014
     -2.33566674,   8887.20747161
      2.34032139,   8977.35978085
      1.82394458,   8993.49312154
      2.34119120,   9021.34450521
     -2.33546810,   9081.98891725
      0.10519819,   9104.16161817
     -2.33564512,   9125.96880603
      2.34021557,   9216.12052756
      1.82405801,   9232.25393721
      2.34108556,   9260.10525181
     -2.33544668,   9320.75025164
      0.10517485,   9342.92264620
     -2.33562353,   9364.73014045
      2.34010973,   9454.88127428
      1.82417145,   9471.01475287
      2.34097989,   9498.86599843
      0.10515152,   9581.68367423
     -2.33560195,   9603.49147486
      0.10534379,   9625.66608368
      2.34000387,   9693.64202102
      1.82428489,   9709.77556852
      2.34087420,   9737.62674506
      0.10512820,   9820.44470227
     -2.33558040,   9842.25280927
      0.10532038,   9864.42711169
      1.82439834,   9948.53638415
      2.34076849,   9976.38749170
      0.10510489,  10059.20573031
     -2.33555887,  10081.01414368
      0.10529699,  10103.18813971
      1.82451179,  10187.29719977
      2.34066275,  10215.14823835
      1.82357855,  10231.28135630
      0.10508159,  10297.96675835
     -2.33553736,  10319.77547809
      0.10527360,  10341.94916773
      1.82462525,  10426.05801537
      2.34055700,  10453.90898502
      1.82369196,  10470.04217202
     -2.33551587,  10558.53681249
      0.10525022,  10580.71019575
     -2.33569331,  10602.51670121
      1.82473872,  10664.81883096
      2.34045123,  10692.66973170
      1.82380538,  10708.80298772
     -2.33549441,  10797.29814689
      0.10522685,  10819.47122377
     -2.33567166,  10841.27803563
      2.34034543,  10931.43047839
      1.82391881,  10947.56380341
     -2.33547296,  11036.05948129
      0.10520350,  11058.23225180
     -2.33565003,  11080.03937005
      2.34023962,  11170.19122510
      1.82403224,  11186.32461909
      2.34110956,  11214.17594938
     -2.33545154,  11274.82081568
      0.10518015,  11296.99327983
     -2.33562843,  11318.80070447
      2.34013378,  11408.95197182
      1.82414568,  11425.08543475
      2.34100389,  11452.93669599
      0.10515682,  11535.75430786
     -2.33560685,  11557.56203889
      0.10534911,  11579.73671732
      2.34002792,  11647.71271855
      1.82425912,  11663.84625040
      2.34089821,  11691.69744261
      0.10513350,  11774.51533590
     -2.33558529,  11796.32337330
      0.10532570,  11818.49774533
      1.82437257,  11902.60706604
      2.34079250,  11930.45818925
      0.10511018,  12013.27636394
     -2.33556376,  12035.08470771
      0.10530230,  12057.25877334
      1.82448602,  12141.36788166
      2.34068678,  12169.21893591
      1.82355279,  12185.35203816
      0.10508688,  12252.03739198
     -2.33554224,  12273.84604212
      0.10527891,  12296.01980136
      1.82459948,  12380.12869726
      2.34058103,  12407.97968257
      1.82366620,  12424.11285388
     -2.33552075,  12512.60737652
      0.10525553,  12534.78082938
     -2.33569823,  12556.58726523
      1.82471294,  12618.88951285
