temp,omega1,theta1,omega2,theta2,theta2-theta1
    0.000000,    0.000000,    1.000000,    0.000000,    1.001000,    0.001000
    0.040000,   -0.033659,    0.998654,   -0.033680,    0.999653,    0.000999
    0.080000,   -0.066621,    0.995989,   -0.066664,    0.996986,    0.000997
    0.120000,   -0.098861,    0.992034,   -0.098925,    0.993029,    0.000995
    0.160000,   -0.130351,    0.986820,   -0.130437,    0.987812,    0.000991
    0.200000,   -0.161067,    0.980378,   -0.161175,    0.981365,    0.000987
    0.240000,   -0.190985,    0.972738,   -0.191114,    0.973720,    0.000982
    0.280000,   -0.220079,    0.963935,   -0.220231,    0.964911,    0.000976
    0.320000,   -0.248328,    0.954002,   -0.248501,    0.954971,    0.000969
    0.360000,   -0.275706,    0.942974,   -0.275902,    0.943935,    0.000961
    0.400000,   -0.302193,    0.930886,   -0.302410,    0.931838,    0.000952
    0.440000,   -0.327764,    0.917775,   -0.328004,    0.918718,    0.000943
    0.480000,   -0.352397,    0.903680,   -0.352660,    0.904612,    0.000932
    0.520000,   -0.376072,    0.888637,   -0.376357,    0.889557,    0.000921
    0.560000,   -0.398764,    0.872686,   -0.399072,    0.873595,    0.000908
    0.600000,   -0.420454,    0.855868,   -0.420784,    0.856763,    0.000895
    0.640000,   -0.441119,    0.838223,   -0.441472,    0.839104,    0.000881
    0.680000,   -0.460739,    0.819794,   -0.461116,    0.820660,    0.000866
    0.720000,   -0.479295,    0.800622,   -0.479694,    0.801472,    0.000850
    0.760000,   -0.496765,    0.780751,   -0.497187,    0.781585,    0.000833
    0.800000,   -0.513131,    0.760226,   -0.513576,    0.761042,    0.000816
    0.840000,   -0.528376,    0.739091,   -0.528843,    0.739888,    0.000797
    0.880000,   -0.542481,    0.717392,   -0.542971,    0.718169,    0.000777
    0.920000,   -0.555430,    0.695175,   -0.555943,    0.695931,    0.000757
    0.960000,   -0.567209,    0.672486,   -0.567744,    0.673221,    0.000735
    1.000000,   -0.577804,    0.649374,   -0.578361,    0.650087,    0.000713
