temp,omega1,theta1,omega2,theta2,theta2-theta1
    3.360000,    0.535336,    1.183228,    0.534959,    1.182356,   -0.000872
    3.400000,    0.525184,    1.204235,    0.524821,    1.203348,   -0.000887
    3.440000,    0.513559,    1.224777,    0.513210,    1.223877,   -0.000901
    3.480000,    0.500465,    1.244796,    0.500128,    1.243882,   -0.000914
    3.520000,    0.485902,    1.264232,    0.485578,    1.263305,   -0.000927
    3.560000,    0.469875,    1.283027,    0.469563,    1.282088,   -0.000939
    3.600000,    0.452387,    1.301123,    0.452086,    1.300171,   -0.000952
    3.640000,    0.433442,    1.318460,    0.433152,    1.317497,   -0.000963
    3.680000,    0.413045,    1.334982,    0.412765,    1.334008,   -0.000974
    3.720000,    0.391201,    1.350630,    0.390931,    1.349645,   -0.000985
    3.760000,    0.367915,    1.365347,    0.367654,    1.364351,   -0.000996
    3.800000,    0.343192,    1.379074,    0.342940,    1.378069,   -0.001006
    3.840000,    0.317038,    1.391756,    0.316793,    1.390740,   -0.001015
    3.880000,    0.289457,    1.403334,    0.289220,    1.402309,   -0.001025
    3.920000,    0.260455,    1.413752,    0.260226,    1.412718,   -0.001034
    3.960000,    0.230037,    1.422954,    0.229815,    1.421911,   -0.001043
    4.000000,    0.198209,    1.430882,    0.197994,    1.429831,   -0.001052
    4.040000,    0.164978,    1.437481,    0.164768,    1.436421,   -0.001060
    4.080000,    0.130348,    1.442695,    0.130145,    1.441627,   -0.001068
    4.120000,    0.094327,    1.446468,    0.094130,    1.445392,   -0.001076
    4.160000,    0.056923,    1.448745,    0.056731,    1.447662,   -0.001084
    4.200000,    0.018143,    1.449471,    0.017957,    1.448380,   -0.001091
    4.240000,   -0.022003,    1.448591,   -0.022183,    1.447492,   -0.001098
    4.280000,   -0.063504,    1.446051,   -0.063678,    1.444945,   -0.001105
    4.320000,   -0.106347,    1.441797,   -0.106516,    1.440685,   -0.001112
    4.360000,   -0.150518,    1.435776,   -0.150680,    1.434657,   -0.001119
    4.400000,   -0.195999,    1.427936,   -0.196156,    1.426811,   -0.001125
    4.440000,   -0.242772,    1.418225,   -0.242921,    1.417094,   -0.001131
    4.480000,   -0.290812,    1.406593,   -0.290954,    1.405456,   -0.001137
    4.520000,   -0.340092,    1.392989,   -0.340227,    1.391847,   -0.001142
    4.560000,   -0.390583,    1.377366,   -0.390709,    1.376219,   -0.001147
    4.600000,   -0.442247,    1.359676,   -0.442364,    1.358524,   -0.001152
    4.640000,   -0.495045,    1.339874,   -0.495152,    1.338718,   -0.001156
    4.680000,   -0.548928,    1.317917,   -0.549024,    1.316757,   -0.001160
    4.720000,   -0.603844,    1.293763,   -0.603929,    1.292600,   -0.001163
    4.760000,   -0.659733,    1.267374,   -0.659805,    1.266208,   -0.001166
    4.800000,   -0.716527,    1.238713,   -0.716584,    1.237544,   -0.001168
    4.840000,   -0.774149,    1.207747,   -0.774191,    1.206577,   -0.001170
    4.880000,   -0.832516,    1.174446,   -0.832542,    1.173275,   -0.001171
    4.920000,   -0.891534,    1.138785,   -0.891541,    1.137613,   -0.001172
    4.960000,   -0.951100,    1.100741,   -0.951087,    1.099570,   -0.001171
    5.000000,   -1.011101,    1.060297,   -1.011067,    1.059127,   -0.001170
    5.040000,   -1.071413,    1.017440,   -1.071357,    1.016273,   -0.001168
    5.080000,   -1.131905,    0.972164,   -1.131824,    0.971000,   -0.001164
    5.120000,   -1.192433,    0.924467,   -1.192326,    0.923307,   -0.001160
    5.160000,   -1.252844,    0.874353,   -1.252709,    0.873198,   -0.001155
    5.200000,   -1.312977,    0.821834,   -1.312812,    0.820686,   -0.001148
    5.240000,   -1.372659,    0.766928,   -1.372464,    0.765787,   -0.001140
    5.280000,   -1.431714,    0.709659,   -1.431486,    0.708528,   -0.001131
    5.320000,   -1.489956,    0.650061,   -1.489695,    0.648940,   -0.001121
    5.360000,   -1.547197,    0.588173,   -1.546900,    0.587064,   -0.001109
    5.400000,   -1.603243,    0.524043,   -1.602910,    0.522948,   -0.001095
    5.440000,   -1.657901,    0.457727,   -1.657530,    0.456647,   -0.001080
    5.480000,   -1.710979,    0.389288,   -1.710571,    0.388224,   -0.001064
    5.520000,   -1.762290,    0.318796,   -1.761842,    0.317750,   -0.001046
    5.560000,   -1.811651,    0.246330,   -1.811165,    0.245303,   -0.001027
    5.600000,   -1.858893,    0.171975,   -1.858368,    0.170969,   -0.001006
    5.640000,   -1.903856,    0.095820,   -1.903292,    0.094837,   -0.000983
    5.680000,   -1.946398,    0.017964,   -1.945796,    0.017005,   -0.000959
    5.720000,   -1.986395,    6.221694,   -1.985756,    6.220760,   -0.000934
    5.760000,   -2.023746,    6.140744,   -2.023071,    6.139838,   -0.000906
    5.800000,   -2.058372,    6.058410,   -2.057662,    6.057531,   -0.000878
    5.840000,   -2.090222,    5.974801,   -2.089480,    5.973952,   -0.000849
    5.880000,   -2.119273,    5.890030,   -2.118500,    5.889212,   -0.000818
    5.920000,   -2.145533,    5.804208,   -2.144731,    5.803423,   -0.000785
    5.960000,   -2.169037,    5.717447,   -2.168209,    5.716694,   -0.000752
    6.000000,   -2.189855,    5.629853,   -2.189003,    5.629134,   -0.000719
    6.040000,   -2.208083,    5.541529,   -2.207210,    5.540846,   -0.000683
    6.080000,   -2.223850,    5.452575,   -2.222959,    5.451928,   -0.000648
    6.120000,   -2.237312,    5.363083,   -2.236405,    5.362472,   -0.000611
    6.160000,   -2.248652,    5.273137,   -2.247732,    5.272562,   -0.000575
    6.200000,   -2.258076,    5.182814,   -2.257146,    5.182276,   -0.000537
    6.240000,   -2.265811,    5.092181,   -2.264873,    5.091681,   -0.000500
    6.280000,   -2.272105,    5.001297,   -2.271161,    5.000835,   -0.000462
    6.320000,   -2.277218,    4.910208,   -2.276271,    4.909784,   -0.000424
    6.360000,   -2.281426,    4.818951,   -2.280477,    4.818565,   -0.000386
    6.400000,   -2.285010,    4.727551,   -2.284062,    4.727202,   -0.000349
    6.440000,   -2.288261,    4.636021,   -2.287314,    4.635710,   -0.000311
