omega,theta
     -0.17273207,      1.02626787
      0.30678405,      0.62408111
      2.46199103,      5.49948825
     -1.20826999,      1.95973231
      1.31104983,      0.89978636
     -0.98408270,      3.24575480
      0.68001436,      5.47366288
     -0.26240116,      5.11092009
      0.34855689,      2.85633094
     -0.06759419,      6.11222406
      0.38754166,      5.71755553
     -0.91948552,      0.92884104
      0.08876882,      3.65951196
      2.52725091,      5.15768579
      0.92728909,      4.30980237
      2.61985907,      0.85619601
      0.33218077,      6.09973206
     -0.72331772,      0.50420940
      1.05290102,      5.51859534
     -0.43486816,      2.23629416
     -2.70035142,      0.09848045
     -1.44126021,      5.73935044
      1.35216433,      5.75387390
     -1.70283560,      1.14140514
      1.25478462,      1.61706177
     -1.48056772,      3.14705724
      1.45934199,      5.94520177
     -0.61569268,      4.21366455
      1.85681029,      4.07394157
     -1.92076788,      6.21690845
      0.18266027,      0.35907835
     -0.25603295,      0.41523130
      0.82927631,      5.49890391
     -0.77630756,      1.69996867
     -2.49560022,      0.29684781
      1.09776614,      4.17449109
     -1.30134587,      5.57306840
     -0.62551542,      0.70457590
      0.17499584,      1.14944588
     -0.22140076,      3.54943554
      1.86141306,      3.70373381
     -1.85179522,      0.36161620
      1.08998251,      2.14522984
     -1.86543264,      4.54824847
     -1.20167247,      4.38189906
      1.59458305,      2.52133128
     -0.88503677,      0.92534120
      0.43934982,      1.33579532
     -0.89763126,      2.89334321
      1.05444476,      5.89273037
     -0.22579798,      4.61114528
      0.34307140,      3.64237377
      2.77258931,      5.88512808
      1.28013889,      0.84103497
     -1.14175018,      6.12467886
      1.00872141,      0.00185227
     -0.97077291,      0.08859754
     -0.19746423,      4.87125762
     -0.45354620,      6.22888467
     -0.36075851,      1.20015173
     -0.24519833,      3.38967872
      1.68803463,      2.69821671
     -1.26166323,      0.72293728
      0.56386873,      1.72793770
      1.42709739,      0.42727751
     -0.71996603,      3.66426617
      2.24194459,      6.23893596
     -1.80973559,      4.86412013
      2.05332055,      5.60266486
     -1.50151233,      4.60621550
      1.88693922,      1.59693222
     -0.86468001,      1.64935885
     -2.51054807,      0.19065881
      0.48709525,      3.49498957
     -0.53370703,      0.72043342
      0.15053921,      1.05008294
      0.04396100,      3.85589210
      2.52290196,      5.28772140
      1.70480089,      3.02623586
     -1.55346220,      0.49356814
      0.76636110,      2.03814962
     -1.72524316,      2.52702297
      1.82754064,      0.01601973
     -1.05036126,      3.89653702
     -0.64468633,      2.21456217
      0.48532487,      2.33723141
     -1.89819382,      2.30586198
      1.92143145,      6.06936909
     -1.17156931,      4.08725162
      1.80312598,      5.06020254
     -1.42131811,      4.80430378
      1.45066176,      2.88802371
     -0.35420080,      5.62592028
     -0.41044613,      1.73264339
     -2.16202477,      1.15719409
      1.99159957,      0.64269471
     -1.52162181,      4.12679413
     -0.46320603,      5.17302715
     -0.17555089,      0.08254400
      0.28581350,      5.74029710
     -0.87001694,      0.94538806
      0.15106717,      3.74071701
      2.62048600,      5.45401425
      1.57673038,      5.45680604
      2.44941316,      0.30532437
      0.25711460,      3.58344877
     -1.27319153,      4.23107918
      2.21181396,      6.12106857
     -1.71702352,      4.72381148
      1.86297399,      5.18504869
     -1.42886220,      4.73766264
      1.49495518,      2.70877832
     -1.02320860,      0.78594456
      0.85721122,      1.20667816
     -0.27355844,      5.76864050
      0.14822207,      5.98391539
     -0.73613557,      0.74634247
      0.90002475,      4.85125962
      2.20613060,      5.37362755
     -1.94113322,      5.41014543
     -0.19075786,      5.21664724
      0.03063605,      2.50124908
     -2.42767296,      1.28316327
      0.34348045,      3.38225893
      0.22008196,      0.94989467
      0.18371389,      0.24584848
      0.58152009,      5.26222282
     -0.37197242,      4.58265879
      1.65846349,      4.19360126
     -1.74428837,      5.66888485
      1.17723541,      2.71633337
     -0.36273810,      1.02677066
      0.33968894,      0.81255753
      0.28093789,      4.27288229
      1.84974115,      4.36444094
     -1.89123261,      5.80183782
      1.27988754,      2.50092151
      0.01898887,      1.12188796
      0.34753263,      0.40058796
      0.51173550,      4.92585382
      1.08661274,      3.82356487
      0.99656184,      2.32984735
     -2.25010495,      6.02333981
      1.97996125,      1.11326727
     -2.20884304,      6.16635627
      1.75077391,      1.57093891
     -0.46538559,      2.84805858
      0.34297151,      5.45110822
      0.48297872,      1.69654781
     -1.64184355,      2.16105748
      1.75014687,      0.54771567
     -1.14909810,      3.59147881
      0.19815600,      5.21767833
     -0.34176293,      5.64330146
     -0.44384099,      1.68403998
      0.22968822,      5.36812055
     -0.23964054,      5.56597112
     -0.47199022,      1.71095050
     -2.18807733,      1.09045875
      2.00102949,      0.63711840
     -1.53227286,      4.15455239
     -0.55548548,      5.20080478
      0.31358342,      1.39583135
     -0.97580613,      2.77530135
      1.23122873,      6.13726883
     -0.33151341,      4.30006230
      2.03239535,      4.57408784
     -2.00352925,      6.07479242
      1.32497139,      2.27663913
     -1.65697577,      0.05880137
     -1.08945462,      2.28896036
      1.36123575,      0.51772459
     -0.69270225,      3.61974245
      2.11371390,      5.69298282
     -1.57674805,      4.66213124
     -1.01873285,      0.76368620
      0.41517593,      1.51296995
     -1.29525668,      2.47784703
      1.52646578,      0.36694318
     -0.80053548,      3.67057606
      0.27124189,      3.21301104
      1.50004221,      6.04762840
     -0.37584498,      6.01836595
     -0.47166609,      1.26053765
     -0.58645265,      3.00289006
      0.27996229,      5.38509170
     -0.22978560,      5.51743683
     -0.43954508,      1.79539576
     -2.31551242,      0.88534900
      1.08237968,      4.98800598
      2.25081267,      5.51261759
     -1.98828865,      5.47326906
      1.68451512,      1.88202131
      0.99746896,      0.84469309
     -0.48735913,      5.87020748
      0.29350299,      6.16168957
      1.22703982,      0.80746227
     -0.97483957,      5.99228268
      0.70572915,      0.13739763
     -0.61714087,      0.06074727
      0.74367354,      6.05670324
     -0.94456618,      0.32815240
      1.12385635,      5.75455675
     -0.15168669,      4.81174217
      1.12993881,      3.71657899
     -1.41127655,      6.06371026
      0.59048864,      2.41958165
     -1.68476378,      2.94191348
      1.69524264,      6.01972912
     -0.87485889,      4.06047120
     -0.05627928,      5.17775172
     -0.33402859,      5.91044365
     -0.51478331,      1.31469966
     -0.88977226,      2.67314823
      1.20057708,      6.19724625
     -0.28831360,      4.29653203
      2.06193595,      4.63843318
     -0.99509260,      1.33424505
     -2.14183956,      1.00606203
      1.87324110,      1.00144989
     -1.62555892,      4.21943094
     -0.37468089,      5.13266434
     -0.24579623,      0.00282704
     -0.43204392,      0.93317101
     -0.42824159,      5.95523805
      0.33530911,      6.08130934
     -0.73991907,      0.51452402
      1.06133832,      5.49041625
     -0.27460962,      2.43335724
     -2.70408105,      0.42341657
     -1.59710370,      6.05715571
     -0.90196834,      0.28922343
      1.07247655,      5.85404929
     -1.14717894,      0.93528150
     -0.94728519,      2.51642212
      1.28498757,      0.16535514
     -0.40913339,      4.02346536
      2.03941397,      4.33910113
      1.74980261,      2.35024122
     -0.85713354,      1.00752549
      0.48607700,      1.28574424
     -0.81406791,      2.99758931
      0.80247130,      5.64481637
     -0.19801578,      4.94858327
      0.75319426,      3.31280435
      1.51627991,      0.98892574
     -1.22708578,      3.26631836
      1.07331584,      5.68525552
     -0.34967133,      4.66660011
      1.50291354,      4.04689925
     -1.63878598,      5.69712101
     -0.85149903,      0.83838506
      0.36779278,      1.33569141
     -0.85174747,      2.92134547
      0.96989147,      5.80483791
     -0.20919103,      4.72740060
      1.36099437,      3.94724053
     -1.54946174,      5.76083894
     -1.49681204,      4.77113129
      1.54521758,      2.49242444
     -0.73242035,      0.98695414
      0.41666071,      1.17877820
     -0.50173909,      3.30893082
     -1.50509996,      0.54784322
     -1.47206906,      1.86662094
     -0.06829763,      1.06440929
      0.32730252,      0.51570119
      0.50589908,      4.80251225
      1.57079949,      4.36616562
     -1.58228317,      5.38082607
      1.20761387,      2.93779282
     -0.91895525,      0.72494096
      0.73233311,      4.17498998
      2.69146809,      0.49428582
      0.56010495,      1.32794456
      0.14698897,      5.96191544
      0.23713049,      5.54924424
