omega,theta
     -0.00209344,      0.05227614
      1.52805371,      3.93308445
     -1.18872422,      4.00935869
      3.09701623,      4.15570972
     -1.32066758,      2.14428713
      1.02578562,      2.25441350
     -3.81704332,      0.30719151
     -0.58242301,      0.22272595
      1.69505349,      3.97228593
     -1.38448156,      3.79847409
     -0.85155127,      1.09507590
     -3.45382093,      2.42809557
     -1.04410293,      6.22012302
     -2.91370371,      5.41889816
     -0.98037905,      2.85536601
      0.37340141,      0.80531728
     -3.21683701,      5.12966909
      1.22039631,      0.52501250
     -3.36765822,      5.92292192
      0.57406913,      6.20523113
     -2.03008456,      1.88410349
     -1.00368040,      4.26879299
      3.86778727,      1.04771334
     -2.08788481,      5.91959656
      3.43898241,      5.57082932
      0.28494789,      0.32478090
      0.54745711,      2.90104266
     -3.22895171,      1.91922706
     -1.54698697,      6.05180848
      3.32132735,      6.04460598
      0.39326079,      0.20422303
      1.00571181,      3.43899658
     -0.39941301,      5.43471102
      3.21942032,      1.28908391
     -1.34349065,      5.61542139
     -3.19692377,      1.66381507
     -0.79631257,      1.66022476
     -4.12085955,      1.28225216
      1.37570206,      5.80633863
     -2.39017998,      1.75657027
      2.14288216,      3.00474991
     -1.35585741,      4.54240440
      3.01849897,      0.07742671
      0.72303242,      4.62257037
      4.04317407,      4.80912218
     -1.19471153,      0.53096802
      2.07055763,      4.18979083
     -1.83016552,      3.39074330
      0.95026921,      1.21743524
      3.43414427,      5.85277374
      0.05536127,      0.31268872
      0.66839325,      2.96916334
     -2.71612239,      4.91573667
      0.37437380,      0.09672146
     -2.29345113,      1.48399501
      2.22497997,      3.39532406
      3.02799148,      6.17843222
     -0.04252578,      3.60035402
      3.84999656,      2.88502177
      0.83317232,      0.53778260
      1.12683408,      3.66189527
     -0.65977433,      4.90112804
      3.42185888,      2.22241401
      3.41379726,      6.21429438
     -0.22598393,      0.24515366
      1.13027354,      3.42769347
     -0.55012405,      5.24916838
      3.29095784,      1.69025376
     -1.79872839,      5.26927141
      3.69434729,      6.27937625
      0.51241936,      6.01013009
     -1.46799927,      2.55487114
      1.03692554,      1.95341588
     -3.84485505,      5.17025503
      2.09196450,      0.39140929
     -3.44300178,      0.70632348
